ABN,Name,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/04/2004,31/05/2004,30/06/2004,31/07/2004,31/08/2004,30/09/2004,31/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,30/04/2005,31/05/2005,30/06/2005,31/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,31/12/2005,31/01/2006,28/02/2006,31/03/2006,30/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,30/09/2006,31/10/2006,30/11/2006,31/12/2006,31/01/2007,28/02/2007,31/03/2007,30/04/2007,31/05/2007,30/06/2007,31/07/2007,31/08/2007,30/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,31/05/2008,30/06/2008,31/07/2008,31/08/2008,30/09/2008,31/10/2008,30/11/2008,31/12/2008,31/01/2009,28/02/2009,31/03/2009,30/04/2009,31/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,31/10/2009,30/11/2009,31/12/2009,31/01/2010,28/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,31/07/2010,31/08/2010,30/09/2010,31/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,30/04/2011,31/05/2011,30/06/2011,31/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,31/12/2011,31/01/2012,29/02/2012,31/03/2012,30/04/2012,31/05/2012,30/06/2012,31/07/2012,31/08/2012,30/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,31/03/2013,30/04/2013,31/05/2013,30/06/2013,31/07/2013,31/08/2013,30/09/2013,31/10/2013,30/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,31/05/2014,30/06/2014,31/07/2014,31/08/2014,30/09/2014,31/10/2014,30/11/2014,31/12/2014,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024,31/01/2025
11005357522,Australia and New Zealand Banking Group Limited,59600.7,64203.8,64758.5,66413.2,68405.6,69359.8,75221,76603.4,76325.5,77062.3,78959.5,78171.1,81143.8,82167.8,83328.3,86632.7,88720.4,88269.6,88652.5,90791.8,90477.6,90061.1,91721.8,92747.6,92959.5,95918.3,94193,94688.6,95977,96867.4,97096.9,97481.3,98778.8,101588.7,106202.3,105101.5,104899.2,106806,108048.9,110530.8,111636.1,112077.4,112145.7,114364.9,115751.1,115617.5,121890.5,124380,132802.3,135613.6,136800.2,142427.7,146039.3,145483,147900.5,149231.8,149763.6,150291.5,152900.4,153351.6,157706.2,160818.3,170852.7,174047.1,170332.8,171543.1,172844.9,171956.3,172404.9,175940,182032.4,180496.1,182766.6,180563.1,180370.2,184297.7,183827.4,183410.2,185938.6,185522.5,184063.2,186754.1,190747.8,191114.2,193177.8,194526.6,203367.6,209521.8,216016.4,214458.4,215458.8,213142,218239.4,224202.5,225221.2,225274.6,229065.2,229422,231917.8,230533.3,233673.1,233504.9,238143.2,237724.5,240542.8,244287.2,245817.6,243114.3,245119.9,241937.4,242282.5,243642.8,248010.9,248317.2,249692.6,249446.7,251598.3,253037,257027.6,258998.8,259413.6,261081.9,260062.7,266839.6,269613.6,268500.7,270098.1,267912.1,268022.2,269868.7,270852.6,276437.7,278461,278783.3,282003.2,285281.4,289113.8,291551.4,286992.3,286358.5,286922.4,286214.7,290021.7,293145.4,295360.6,296670.5,295005.4,294950.2,299614.6,299745.4,299933.8,303080.2,299783.8,297187.2,296756.4,299357.8,299741,300513.4,302117.3,310938.9,310744.1,313241.3,314297,311995.9,311209.9,312193.5,316110.4,317330.6,317831.7,319816,315944.2,314890.6,312111.8,315550.9,313929,314717.6,309234.6,308048,308661.8,309992,312295.8,311833.7,310473.8,305357.1,304616.7,305897.8,306073.4,574864.4,577968.8,582351.4,585003.2,273110,275727.5,277049.6,277900.6,282729.6,283080.4,286610.2,287394.1,298666.3,305943.3,304081.5,306783.9,309646.3,313331.2,319803,321407.5,326493.1,326916.1,327644.8,323818.9,326915,327410.6,326082.3,333126.7,341803.9,338792.1,341081.6,344279.7,348733.6,351771.8,349863.8,350996.1,352349.3,355206.2,356994.3,361654,360925.5,358655.5,360268,358202.7,358447.1,355545.4,358743.7,358021.3,366349.4,365504.2,360675.4,364419.8,364268.5,367989,369941.3,372166.7,372539.3,378967.9,383273.6,383488.7,382662.3,386490.8,382988.8,387220.9,398961.1,391023.9,389740.2,395588,396577.8,397710.8,399603.3
11068049178,Bendigo and Adelaide Bank Limited,6237,6538.2,6809.2,7114.4,7585.4,7911.9,8492.4,8764,8892.5,9005.1,9303.6,9425.9,9615.7,9596.6,9489.7,9589.9,9875.1,9965.7,9878.3,9905.3,9831.3,9978.5,10188,10362.8,10307.3,10546.3,10563.8,10656.4,10947.5,10939.6,11065.1,11124,11225.8,11476.8,11563.9,11807,11863.6,11938.9,12143.2,12133.8,12195.6,12492.1,12782.4,12776.6,12739.4,12734.9,12861.2,13133.1,13544.9,13862.7,13978.4,14223.8,14639.2,14653.4,14665.8,14781.2,15009.8,15051.9,15403.1,16005.7,16729.9,17340.8,17971,18528.8,30400.5,30703.9,30752.5,31263,31313.8,30756.3,30482.6,30629,30155.9,30561.5,31068.4,31286.6,30675,30714.8,31276.5,31258.2,31696.6,31868,32434.3,32823.2,33193.1,33417.3,33440.8,33711.7,34829.4,34848.3,34886.1,35160.7,35619.1,35711.8,36370.1,37053.1,36808.2,36751.8,37132.9,37658.5,38134,38438.7,38326.1,39153.9,39382,39796.9,39587.2,39929.6,40966.4,41100.9,41438.4,41213.2,42151.3,42110.2,41809.9,41673.3,42012.1,42112.6,42048.8,42320.5,42365.5,42182.7,42593.9,42548.4,42947.3,43332.4,42984.9,42534.6,43944.1,44718.2,45407.2,45906.8,45801.8,45669.6,45756.5,45876.7,45962.7,46749.3,46298.9,46889.2,47049.7,46526.2,46487.7,46904.3,46881.6,46864,47101.7,47116.8,47231.1,47866.6,47813.4,48291.9,48782.1,49280.5,49441.7,50317.9,50864.1,51179.5,51545.9,51863.3,51890.6,52037.9,51869,51779.9,51669.5,51626,51456.5,51280.7,51361.3,51640.7,51690.4,51442.7,51429.8,51350.9,51043.5,51068.8,51453.5,51360.8,51211.8,51553.8,51673.4,51744.6,51942.6,52149.2,52287.7,52175.9,52187.9,99103.2,99832.9,100380.9,107178.6,51280.9,51041,51321.8,51678.5,51653.9,52157.7,52807.1,53304.6,53157.5,54091.9,53890,53622.3,54936.1,55775.5,56478.4,57103.7,57186.5,58155.6,58800.5,59099.4,59459.6,59845.5,59754.8,60326.5,61411,61635.9,62411.5,62932.6,63193.9,64155.5,64721.6,65263.5,66092.9,66836.2,66777,67650.1,68740.7,68659.3,68700.2,68810,68257.4,68672.3,68373.2,67943.7,67926.4,67921,68531.9,69749.7,70890.8,72121.7,72379.6,72343.2,71536.1,71462.9,71190.7,70566.6,70677.9,71109.3,70851.8,71094.2,71694.3,72505.3,72939.9,73741.6,74365.3,75064.2,75235.9
11087650315,Unity Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.9,792.4,786.1,935.8,932.4,943.5,960.1,964,961.3,959.3,970.8,971.9,972.4,959.9,979,977.2,978.8,990,993.4,995.7,1003.1,1050.4,1056.4,1061.4,2108,2114.4,2144.5,2195.5,1107.7,1118.7,1122.3,1128,1131.6,1140.7,1136.4,1140.1,1147,1177.8,1192.8,1182.2,1210.3,1203.7,1189.6,1197.2,1187.3,1196.4,1207.2,1202.6,1200.7,1205.6,1180.5,1189.4,1206,1223.9,1254.7,1273.5,1283.9,1287.6,1285.7,1250.5,1248.4,1250.3,1235.1,1247.6,1271.4,1296.6,1313.2,1325.4,1323.5,1334.8,1320.6,1309.3,1318,1323.4,1336.3,1341.8,1356.2,1348.9,1377.3,1424.8,1456.9,1464.6,1463.7,1465.2,1481.2,1488.5,1495.1,1491.1,1518.4,1538.9,1546.3,1558.6,1553.7,1565.4,1583.7
11087651125,Heritage and People's Choice Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6130.1,6182.8,6222.2,6236.1,6381,6389.9,6422,6445.1,6415,6433.9,6419,6389.8,6405.7,6541.9,6572.2,6614.8,6820.9,6849.4,6888.2,6900,6887.2,6945.7,6906.5,6899.4,6943,6956.6,6914.7,6953,7083.5,7109.2,7235,7253.3,7273.4,7357.5,7363.1,7380.1,7470,7492.7,7492.9,7528.2,7520.1,7589.5,7597.6,7625.9,7688.6,7766.9,7805.1,7847.4,17474.9,17590.9,17717.1,17843.1,18244,18687.3,18939.2,18975.6,19006.3,19045.4,19195.9,19050.4,19050.1,19158.9,19319,19322.3,19477.7,19611.9,19748.7,19890.8,19876.1,20121.5,20011.5
11615995581,Judo Bank Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61.5,103.4,143.9,230.3,325.8,499.7,659.1,870.3,1052,1192.2,1340.8,1424,1423.4,1385.5,1508.9,1655.3,1756.8,1892.8,1938,1985.4,1937.6,2049.5,2163.8,2293,2419.5,2547.4,2649.9,2754.1,2889,3032.2,3113.2,3236.5,3346.3,3428.2,3603.9,3598.8,3950.6,4083.8,4423.2,4671.1,4723.2,4894.6,5075.4,5259.8,5160.4,5268.7,5441.9,5504.2,5741.4,5954.5,6478.7,6585.2,6548.6,6697.4,6769.9,6920.6,7031.4,7162.7,7377.7,7624.8,7978.3,8226.5,8466.6,8632.9,8744.6,8889.6,8891.3,8989.3,9046
12004044937,National Australia Bank Limited,78044.7,85542.2,86770.2,90802.6,95133.2,97255.4,101002.3,101313.3,104483,102958.3,99136,104708.9,107180.5,102498.3,101974.8,104243.8,104480.5,105003.2,107838.6,108546.9,106777.5,105917.5,106601.1,108139.6,105048,106901.5,106610,109186.2,109788.8,110651.8,107823.4,108718.3,109999.9,110573.2,112454,114402.1,113568.9,117345.7,116785.9,117784.5,121161.4,120141.6,119887.3,120958.8,122314.1,121210.8,126546.1,127979.7,142699.6,149210.9,150244.2,161230.1,160425.3,164337.9,163246.3,161630.6,168968.8,169191.9,171290.7,175972.5,177512.5,184482.3,203975.1,202729.8,203648.5,196693,195992.9,186460.5,184749.2,186210,185239,187303.7,190210.7,193005.7,201147.7,203051.7,201183.3,198973.2,200224,205300.6,205543.5,204763.4,206502.1,207157.1,212553.5,216748,217320,218363.5,213946.8,219612.8,217467.1,224375.8,222505.2,224639.8,222464,226017.3,234147.5,236860.1,240181.2,243075.1,251455.9,256993.3,256177.8,253706.3,253371.3,255994.4,260482.6,265006.6,266527.4,266890,267213.7,272777.1,271446.4,273104.3,269473.7,271609.9,273642.4,273394.3,276596.4,279754.9,282880.9,286002,288893.4,291544.3,294266.2,297255.4,299333.1,298327.1,303859,303076.1,299120,303074.4,308462.4,310345.2,309289.2,308982.1,313737.1,314663.2,316933.6,318189.3,321414.5,321600.7,321605,326833.3,326387.2,328654.4,330304.6,330536.6,328024.7,331638.7,331523.7,334165.5,337311.7,341362.7,341601.7,347068.4,346695.8,342913.5,344350.6,344707.2,349027.8,348287.1,348465,348296.5,352507.2,352935.9,353849.5,355921.5,357249.5,362970.7,363379,362275.2,359472.4,362322.3,360908.8,361944.7,361812.5,361834.9,366150.1,369915.2,369932.1,369384.9,372286.1,373412.9,371908.1,376167.4,375799.7,718676.6,719095.6,714347.1,713751.9,343789.4,344459.9,343710.1,342386.3,341362.1,340302.6,344580.7,344267,359986.6,366363.4,368120.7,372378,379209.1,380753,385603.1,388576.1,387838.9,391080.1,395334.5,393997.1,396481.8,396733.9,396877.8,400359.7,409673.8,410514.7,416436.9,418922.3,420280.7,431257.5,439434.1,437961.1,443664,450217,451030.8,464340.5,469506,470013,477395.7,482791,476103.1,476640.5,480095.7,478248.3,481147.5,482746.9,482002.4,483193.3,483829.4,485495.9,493919.6,493984.3,493740.2,494085.1,495520.4,498596.8,507459,501215.6,502537.7,505513.7,518869.2,519124.4,518598.9,524532.8,523748.8,531512.2,532394.7
13064165162,Deutsche Bank Aktiengesellschaft,9272.9,9093.6,9571.7,9017,9657.6,5392.9,5294.4,5673,5224.1,5369.9,6254.2,6258,4850.6,5059.6,6232.4,6441.4,6684.6,7376,7406.1,6320.2,7160,6885.4,7188,6312.3,4661.8,5852.8,5679.5,6302.3,6279.2,8140.8,8140,8342.2,11604.3,8619.1,10932.7,8355.9,9983.8,9249.5,10444.5,10800,12121.7,10216.9,11835,14528.6,17582.8,16052.3,18043.5,19689.1,19448,17293.8,17035.5,15228.6,11011.1,18693,12249.5,12486.9,11437.3,10323,8664.3,12638.2,8710.1,11065.6,11848.1,10356,8748,8538,8864.6,8528.8,9145.1,7428.2,8174.5,6978.5,7503.1,6990.5,7357.1,7034.3,6719.9,6280.5,6319.4,6105.4,6351.4,7072.2,6024.4,7153.1,7181.3,6608,8070.3,7147.5,6701.1,6458,7509.6,6473.6,7485.9,6710,6083,6420.9,7954.7,7149.9,7264.9,5944.4,4943.7,5314.8,5985.3,5296.7,5580.7,5484.1,5283.6,6069.1,6091.8,5120,5868.2,5499.8,5056.3,5536.7,5722.6,5381.6,4689.5,4300,3806.3,3664.5,3267.5,2604.9,2789,2823.5,2414.7,2532.3,2640.5,2378.1,2826.8,3407.6,3295.1,3302.7,3277.7,2958.2,3046.2,3102.1,2665.7,2732.5,2849.5,2203.9,2072.8,2055.1,1423.6,1429.7,1544.3,1774.4,1795.6,1408.3,1238.3,1476.7,1222.1,1094.3,1255,1164.8,1215.2,1123.2,1165.3,790.4,614.2,683,627.3,743.4,717.4,570.8,604.7,687,645.6,698.3,867.3,887.8,1150.9,1270.7,952.8,1337.9,1289.9,1148.4,1020.7,894.8,822.4,818,1156.3,1097.7,1061.5,812.3,891.8,645.4,797.3,889.9,942.8,1027.2,820.5,103,131.8,27.9,30.5,23.2,16.7,8.5,8.9,27.1,43.4,28.2,15.4,385.9,16.9,8,7.6,11.3,9.4,7.8,12.6,25.9,44.5,37.2,30.5,33.4,22.1,30,27.2,15.1,74.2,66.5,34.7,34.5,52.3,31.8,57.4,230.4,33.5,207.7,45.8,106.4,116.5,104.7,114.1,118.4,121.6,121.2,122.6,190.9,244.5,290.8,281.5,348.1,445.7,400.6,321.4,250.1,486.6,628.7,601.8,518.6,524.1,516,592.3,617.6,775.4,685.2
13621804813,86 400 Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2.1,20.2,47,74.2,98.9,119.6,177.1,229.7,247.2,276.2,309.9,343.5,352.4,387.7,347.3,342,364.9,381.3,394.1,441.8,464.2,479.9,706.5,771.1,847.5,988.5,1207.5,1402.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13627244848,Alex Bank Pty Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,9,11.7,18.5,24.9,33.9,49.1,56.4,61.5,59.6,63.7,65.4,55.4,51.5,54.8,56.4,62.2,61.6,61.1,64.2,60.4,59.3,52,47.8,47
14087650771,Illawarra Credit Union Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.3,592.6,586.1,591.4,591.9,587.9,579.1,572.9,575.3,581.9,577.9,578.8,574.1,578.3,577.1,587.1,603.2,607.3,609.9,620.9,603.1,609.2,596.5,596.8,615.3,632.8,659.3,701.3,721.1,747.7,792.3,809.1,823.2,824.2,814.8,826.9,848.6,863.6,880.7,901.9,901.2,898.6,884.3,881.6,880.7,880.4,891.5,864.6,862.9,837.7,803.7,773.2,781.2,775.8,771.1,768.1,763.4,745.8,724.6,719.2,721.9,724.6,726.6,733.7,729.1,788.5,785.3,775.1,771,778.2,780.8
